number,inbound,outbound
1,"Harvard/Holyoke Gate","Dudley Station via Massachusetts Avenue"
15,"Kane Square","Ruggles Station via Uphams Corner"
22,"Ashmont Station","Ruggles Station via Talbot Avenue & Jackson Square"
23,"Ashmont Station","Ruggles Station via Washington Street"
28,"Mattapan Station","Ruggles Station via Dudley Station"
32,"Wolcott Square","Forest Hills Station via Hyde Park Avenue"
39,"Forest Hills","Back Bay via Huntington Avenue"
57,"Watertown Yard","Kenmore Station"
66,"Harvard Square","Dudley Station via Allston & Brookline Village"
71,"Watertown Square","Harvard Station via Mt. Auburn Street"
73,"Waverley Square","Harvard Station via Trapelo Road"
77,"Arlington Heights","Harvard Station via Massachusetts Avenue"
111,"Woodlawn or Broadway & Park Ave.","Haymarket Station via Mystic River/Tobin Bridge"
116,"Wonderland Station","Maverick Station via Revere Street"
117,"Wonderland Station","Maverick Station via Beach Street"
